company,domain,hubspot_company_id,in_hubspot,composite,tier,sites,city_state,nearest_primo,domain_source
Sysco,sysco.com,55549751349,yes,90.03,A,3,"Alachua, FL",US PL High Springs Factory,package
MQJ2 - Amazon,amazon.com,8981959027,yes,89.87,A,1,"Whiteland, IN",US PL Greenwood Indiana,package
DDE6 - Amazon,amazon.com,8981959027,yes,89.87,A,1,"Denver, CO",US PL Denver Factory,package
EIKZ Amazon,amazon.com,8981959027,yes,89.87,A,1,"Denver, CO",US PL Denver Factory,package
SCO1 Amazon,amazon.com,8981959027,yes,89.87,A,1,"Denver, CO",US PL Denver Factory,package
WestRock,westrockcoffee.com,54720622756,yes,89.78,A,2,"Ontario, CA",US PL Ontario Factory,package
Target Denver Sortation Center,target.com,44998571902,yes,89.71,A,1,"Denver, CO",US PL Denver Factory,package
Amazon DAL3,amazon.com,8981959027,yes,89.71,A,1,"Dallas, TX",US PL Dallas 2 Factory,package
SYSCO-ALACHUA FL,sysco.com,,no,89.58,A,1,"Alachua, FL",US PL High Springs Factory,curated:
Exchange Logistics,exchange-logistics.com,55534349341,yes,89.38,A,2,"Dallas, TX",US PL Dallas 2 Factory,package
Holiday Homes Transporting Llc,,,no,89.22,A,1,"Ballston Spa, NY",US PL Saratoga Spring Factory,
Airport Costco Depot,costco.com,55554508096,yes,89.13,A,1,"Ontario, CA",US PL Ontario Factory,package
AutoZone Distribution,autozone.com,54727902629,yes,89.1,A,4,"Ontario, CA",US PL Ontario Factory,package
Amazon STX3,amazon.com,8981959027,yes,89.09,A,1,"Dallas, TX",US PL Dallas 2 Factory,package
