Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
5233,Stone Plastics & Manufacturing,23.3,23.3,D,1,11,26.7,3,65,US PL Mecosta Factory,"Zeeland, MI",shipper,medium
5234,PTI Logistics,23.25,23.25,D,1,24,33.3,0,42.7,US PL Mecosta Factory,"Ravenna, MI",3pl,medium
5235,KEEP CALM TRANSPORT & LOGISTICS LLC,23.25,23.25,D,1,19,33.3,1,50.4,US PL High Springs Factory,"Orange Park, FL",carrier,medium
5236,Gulf States Cold Storage,23.2,23.2,C,1,8,33.3,3,77.2,US PL Hawkins Factory,"Shreveport, LA",shipper,medium
5237,Calumet Packaging – Distribution Center,23.2,23.2,D,1,8,33.3,3,77.2,US PL Hawkins Factory,"Shreveport, LA",shipper,medium
5238,Sherman's Distribution Center,23.16,23.16,C,1,24,33.3,0,42.9,US PL Poland Spring Factory,"Nobleboro, ME",shipper,medium
5239,TA,23.16,23.16,C,1,24,33.3,0,42.9,US PL Hot Springs Factory,"Atkins, AR",shipper,low
5240,TA Express,23.16,23.16,C,1,24,33.3,0,42.9,US PL Hot Springs Factory,"Blackwell, AR",shipper,low
5241,Tropicana.,23.14,23.14,D,1,15,20,3,57.3,US PL Zephyrhills Factory,"Bradenton, FL",shipper,low
5242,Grand Rapids Transport,23.12,23.12,D,1,15,0,5,57.4,US PL Mecosta Factory,"Jenison, MI",carrier,low
5243,3-PXL Cross Dock • 3PL Warehouse • FBA Prep • Cold & Dry Storage,23.08,23.08,D,1,18,33.3,1,50.9,US DC NFI - Breinigsville,"Trenton, NJ",3pl,medium
5244,Navarro Pecan Co Inc,23.08,23.08,C,1,18,33.3,1,50.9,US PL Dallas 2 Factory,"Corsicana, TX",shipper,low
5245,MWC (Delivery and Pickup),23.08,23.05,C,2,18,33.3,1,50.9,US PL Mecosta Factory,"St Johns, MI",shipper,low
5246,Taylor Company,23.07,23.07,C,1,24,33.3,0,43.1,US PL Madison Factory,"Rockton, IL",shipper,low
5247,Trinity Manufacturing Inc,23.07,23.07,D,1,22,26.7,1,45.5,US PL McBee Factory,"Hamlet, NC",shipper,medium
5248,Eckert Cold Storage Co,23.05,23.05,C,1,18,33.3,1,51,US PL Sacramento Factory,"Manteca, CA",shipper,medium
5249,Newport Industrial Fabrication,23.03,23.03,D,1,22,26.7,1,45.6,US PL Kingfield Factory,"Newport, ME",shipper,low
5250,Timber & Tread Logistics LLC,22.98,22.98,C,1,18,33.3,1,51.2,US PL Poland Spring Factory,"Berlin, NH",3pl,medium
5251,Blair Logistics - Valdosta Terminal,22.98,22.98,C,1,7,33.3,3,78.8,US PL High Springs Factory,"Valdosta, GA",3pl,medium
5252,Jutt & Sons Crossdock,22.91,22.91,D,1,18,33.3,1,51.4,US DC NFI - Breinigsville,"Hamilton Township, NJ",shipper,low
5253,Kayem Foods Inc.,22.9,22.9,C,1,7,33.3,3,79.4,US PL Hollis Factory,"Woburn, MA",shipper,low
5254,Matador Passion Yerba Mate Tea Manufacturing Company,22.89,22.89,D,1,11,26.7,3,67,US PL McBee Factory,"Concord, NC",shipper,medium
