Rank,Composite,Proximity,Fit %,Density,Distance (mi),Nearest Primo Site,Tier,Segment,Confidence,Name,Account,"City, State",Vertical,Enterprise,Network,Corridor,Address
7083,20.55,3,33.3,3,107.1,US PL Madison Factory,C,shipper,medium,Cross dock Warehouse,,"Franklin Park, IL",25,0,0,"Elk Grove Village, IL","3710 River Rd Unit D, Franklin Park, IL 60131, USA"
7084,20.54,14,33.3,1,59.6,US PL Zephyrhills Factory,C,shipper,medium,B & W Cold Storage,,"Bradenton, FL",25,0,0,"Palmetto, FL","4307 30th St W, Bradenton, FL 34205, USA"
7085,20.54,14,33.3,1,59.6,US DC NFI - Breinigsville,C,shipper,medium,"CJ TMI Manufacturing America, LLC.",,"Robbinsville Twp, NJ",25,0,0,"Allentown, PA","2 Applegate Dr, Robbinsville Twp, NJ 08691, USA"
7086,20.52,23,26.7,0,44.4,US PL Saratoga Spring Factory,D,shipper,medium,"TOG Manufacturing Co., Inc.",,"North Adams, MA",20,0,0,"North Adams, MA","1454 S State St, North Adams, MA 01247, USA"
7087,20.52,14,33.3,1,59.7,US PL High Springs Factory,C,shipper,medium,TNT Fireworks Distribution Warehouse,,"Ocala, FL",25,0,0,"Ocala, FL","6255 SE 78th St, Ocala, FL 34472, USA"
7088,20.5,37,0,0,29.6,US PL Dallas 2 Factory,D,shipper,low,Dr Pepper Snapple Group,,"Frisco, TX",0,0,0,"Dallas, TX","6425 Hall Of Fame Ln, Frisco, TX 75034, USA"
7089,20.5,10,20,3,69.1,US PL McBee Factory,D,shipper,low,"Snyder Packaging, Inc.",,"Concord, NC",15,0,0,"Charlotte, NC","788 Harris St NW, Concord, NC 28025, USA"
7090,20.49,14,33.3,1,59.8,US PL Cabazon Factory,C,shipper,low,Fresh Creative Foods,,"Vista, CA",25,0,0,"Vista, CA","3285 Corporate View, Vista, CA 92081, USA"
7091,20.48,23,26.7,0,44.5,US PL Mecosta Factory,D,shipper,medium,"Woody's International Engineering & Manufacturing, Inc.",,"Hope, MI",20,0,0,"Clare, MI","6054 N Meridian Rd, Hope, MI 48628, USA"
7092,20.47,14,33.3,1,59.9,US PL High Springs Factory,C,shipper,medium,Furniture Distribution Center,,"Jacksonville, FL",25,0,0,"Jacksonville, FL","169 Swan Rd, Jacksonville, FL 32212, USA"
7093,20.46,19,33.3,0,49.8,US PL Zephyrhills Factory,C,3pl,medium,Pandia Press Fulfillment Center,,"Mt Dora, FL",25,0,0,"Tampa, FL","4023 Lake Saunders Dr, Mt Dora, FL 32757, USA"
7094,20.44,14,33.3,1,60,US PL Denver Factory,D,3pl,medium,Fulfillment CO,,"Colorado Springs, CO",25,0,0,"Colorado Springs, CO","3380 N El Paso St B, Colorado Springs, CO 80907, USA"
7095,20.44,14,33.3,1,60,US PL Hollis Factory,C,shipper,low,Greencore USA,,"Newbury, MA",25,0,0,"Auburn, ME","12 Kent Way, Newbury, MA 01922, USA"
7096,20.32,19,33.3,0,50.2,US PL Hot Springs Factory,C,shipper,low,Ernest's Truck Shop,,"Dover, AR",25,0,0,"Conway, AR","6530 S Market St, Dover, AR 72837, USA"
7097,20.32,19,33.3,0,50.2,US PL Kingfield Factory,C,shipper,low,MapleSyrupFromCanada,,"Frontenac, QC",25,0,0,"Frontenac, QC","614 QC-161, Frontenac, QC G6B 2S1, Canada"
7098,20.29,2,33.3,3,112.5,US PL McBee Factory,C,shipper,low,TW Garner Food Company,,"Winston-Salem, NC",25,0,0,"Winston-Salem, NC","614 W 4th St, Winston-Salem, NC 27101, USA"
7099,20.25,2,33.3,3,113.6,US PL Mecosta Factory,C,shipper,low,Dayton Freight- Detroit,,"Waterford Township, MI",25,0,0,"Romulus, MI","2425 Dixie Hwy, Waterford Township, MI 48328, USA"
7100,20.23,22,26.7,0,45.1,US PL Greenwood Indiana,D,shipper,medium,Aisin Plant 2,,"Seymour, IN",20,0,0,"Seymour, IN","500 Burkart Blvd, Seymour, IN 47274, USA"
7101,20.22,20,0,3,47.7,US PL High Springs Factory,D,shipper,low,FreeUp Storage Ocala,,"Anthony, FL",0,0,0,"Ocala, FL","9161 NE Jacksonville Rd, Anthony, FL 32617, USA"
7102,20.22,19,33.3,0,50.5,US PL Sacramento Factory,C,shipper,medium,Lomo Cold Storage,,"Live Oak, CA",25,0,0,"Yuba City, CA","6005 CA-99, Live Oak, CA 95953, USA"
7103,20.22,13,33.3,1,60.9,US PL Madison Factory,D,3pl,medium,symplr : Manufacturing and Fulfillment Center,,"Jackson, WI",25,0,0,"Milwaukee, WI","N171W21860 Caymus Ct, Jackson, WI 53037, USA"
7104,20.2,2,33.3,3,114.7,US PL Madison Factory,C,shipper,medium,Crossdock Warehouse in Bolingbrook,,"Bolingbrook, IL",25,0,0,"Joliet, IL","340 W Crossroads Pkwy Suite B, Bolingbrook, IL 60440, USA"
7105,20.19,2,33.3,3,115.1,US PL McBee Factory,C,3pl,medium,Fulfillment Center,,"Winston-Salem, NC",25,0,0,"Winston-Salem, NC","3750 N Liberty St, Winston-Salem, NC 27105, USA"
7106,20.18,2,33.3,3,115.2,US PL Madison Factory,C,shipper,low,Crossdock Romeoville,,"Romeoville, IL",25,0,0,"Joliet, IL","1320 Enterprise Dr Unit 3, Romeoville, IL 60446, USA"
7107,20.17,2,33.3,3,115.4,US PL Madison Factory,C,shipper,low,24/7 Crossdock,,"Woodridge, IL",25,0,0,"Joliet, IL","2145 Internationale Pkwy Suite 800, Woodridge, IL 60517, USA"
7108,20.16,2,33.3,3,115.7,US PL McBee Factory,C,shipper,low,TW Garner Food Company,,"Winston-Salem, NC",25,0,0,"Winston-Salem, NC","4045 Indiana Ave, Winston-Salem, NC 27105, USA"
